#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery3
#Serial Number: SN:210415BA04E1
#Date Time: 2025-04-04 15:55:11.755.718.560
#Sample rate: 1.75439e+06Hz
#Samples: 16384
#Trigger: Source: Wavegen C1 Condition: Rising
#Channel 1: Range: 20 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 20 mV/div Offset: -20 mV Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Sweep
#Type: Sine
#Frequency: 58 kHz
#Period: 17.24137931 us
#Stop: 72 kHz
#Amplitude: 5 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
-0.001177991881413912,0.001349750458779456,0.001533974461871052
-0.001177421881413912,0.001192313957998424,0.001533974461871052
-0.001176851881413912,0.00127103220838894,0.002085249186864768
-0.001176281881413911,0.001507186959560488,0.001770235058296928
-0.001175711881413911,0.001664623460341521,0.002085249186864768
-0.001175141881413911,0.0004051314540932622,0.001533974461871052
-0.001174571881413911,-0.0005394875505929317,0.0004314250118836148
-0.001174001881413911,0.0009561592068269469,0.00200649565472202
-0.001173431881413911,0.001034877457216532,0.001140206801160609
-0.001172861881413912,9.025845253205671e-05,0.0004314250118842595
-0.001172291881413912,-0.0005394875505923589,-4.109618096771088e-05
-0.001171721881413912,0.0002476949533115141,0.001455220929727732
-0.001171151881413912,0.0007987227060458431,0.001218960333303213
-0.001170581881413911,-0.000224614549030867,0.0009826997368773335
-0.001170011881413911,0.001664623460341521,0.001691481526154968
-0.001169441881413911,0.002215651213075134,0.001848988590438888
-0.001168871881413911,0.0008774409564363591,0.001770235058296928
-0.001168301881413911,0.0005625679548742946,0.001297713865445173
-0.001167731881413911,0.0009561592068271617,0.0009826997368774769
-0.001167161881413911,0.001271032208389441,0.001140206801160823
-0.001166591881413912,0.001822059961122052,0.000667685608309924
-0.001166021881413912,0.0003264132037041063,0.0001164108833162803
-0.001165451881413912,0.001664623460341521,0.001612727994013012
-0.001164881881413911,0.002451805964246682,0.001612727994013012
-0.001164311881413911,0.001979496461903586,0.002085249186864768
-0.001163741881413911,0.001900778211513069,0.001612727994013012
-0.001163171881413911,0.001428468709169972,0.001612727994013012
-0.001162601881413911,0.0008774409564363591,0.0008251926725934139
-0.001162031881413911,-0.0001458962986387758,0.0004314250118849041
-0.001161461881413911,0.001585905209950575,0.001848988590437957
-0.001160891881413912,0.001113595707608337,0.000825192672594345
-0.001160321881413912,0.0006412862052652403,0.0007464391404515257
-0.001159751881413912,0.001113595707607908,0.0005889320761675344
-0.001159181881413911,9.025845253119759e-05,0.001140206801161253
-0.001158611881413911,0.001743341710732037,0.001848988590438888
-0.001158041881413911,0.00024769495331223,0.0009039462047353737
-0.001157471881413911,-6.71780482498347e-05,0.000116410883315779
-0.001156901881413911,0.0006412862052648107,0.0009826997368773335
-0.001156331881413911,0.0002476949533128743,0.001376467397587061
-0.001155761881413911,0.0009561592068274481,0.001297713865445459
-0.001155191881413912,0.001585905209950432,0.001612727994012726
-0.001154621881413912,0.00150718695956056,0.001533974461871124
-0.001154051881413912,0.0004838497044837783,0.001218960333303213
-0.001153481881413912,0.0003264132037027461,0.0007464391404514541
-0.001152911881413911,0.0006412862052648107,0.001376467397587133
-0.001152341881413911,0.00127103220838894,0.0005889320761675344
-0.001151771881413911,0.001743341710732037,0.001455220929729092
-0.001151201881413911,0.001979496461903586,0.001297713865445173
-0.001150631881413911,0.002373087713856166,0.002085249186864768
-0.001150061881413911,0.002530524214635981,0.001770235058296355
-0.001149491881413911,0.001192313957999211,0.00114020680116154
-0.001148921881413912,0.002058214712293314,0.001455220929728806
-0.001148351881413912,0.001585905209951434,0.001297713865445316
-0.001147781881413912,0.0007987227060458431,0.001770235058296928
-0.001147211881413911,0.0008774409564363591,0.001140206801161253
-0.001146641881413911,0.00127103220838894,0.001533974461871052
-0.001146071881413911,0.001900778211513069,0.001533974461871052
-0.001145501881413911,0.0009561592068268753,0.001455220929729092
-0.001144931881413911,0.0006412862052648107,0.0009039462047353737
-0.001144361881413911,0.001192313957998424,0.002006495654722665
-0.001143791881413911,0.001192313957997708,0.001848988590438243
-0.001143221881413912,0.0004051314540939781,0.001140206801161898
-0.001142651881413912,0.0006412862052645959,0.0005101785440261476
-0.001142081881413912,0.0009561592068268753,0.001927742122580848
-0.001141511881413911,0.001349750458779456,0.001297713865445173
-0.001140941881413911,-0.001011797052936028,0.001140206801161253
-0.001140371881413911,0.002058214712294101,0.002400263315432607
-0.001139801881413911,0.001900778211513069,0.001533974461871052
-0.001139231881413911,0.001349750458779456,0.001848988590438888
-0.001138661881413911,9.025845253227149e-05,0.0009039462047360899
-0.001138091881413911,0.001271032208388868,0.001691481526154682
-0.001137521881413912,0.001192313957998495,0.001376467397587419
-0.001136951881413912,0.001034877457217535,0.0009826997368776917
-0.001136381881413912,0.001585905209951005,0.001533974461871052
-0.001135811881413912,0.001507186959560488,0.001612727994013012
-0.001135241881413911,0.001979496461903586,0.002006495654722808
-0.001134671881413911,0.002136932962684618,0.002164002719006727
-0.001134101881413911,0.001822059961122553,0.002164002719006727
-0.001133531881413911,0.0008774409564363591,0.001848988590438888
-0.001132961881413911,0.0007987227060454851,0.001612727994012296
-0.001132391881413911,0.0004051314540941213,0.0008251926725945599
-0.001131821881413912,0.001349750458778597,0.002085249186863622
-0.001131251881413912,0.001349750458779456,0.001848988590439103
-0.001130681881413912,0.0004838497044845659,0.001533974461871339
-0.001130111881413912,0.0003264132037027461,0.001297713865445173
